spw.put("ZCNR035L元一柏庄一期西门","14152");
spw.put("HCN671RD义圣名苑东门Q","5275");
spw.put("HCN667RD百妙二期消防门Q","5274");
spw.put("HCN665RD福地广场北门Q","5273");
spw.put("HCN664RD福地广场南门Q","5272");
spw.put("HCN662RD卫生院大门口Q","5271");
spw.put("HCN658RD中环南路越秀路西斑马线Q","5270");
spw.put("HCN657RD维也纳酒店门口Q","5269");
spw.put("HCN655RD姜家村公寓门口Q","5268");
spw.put("HCN654RD龙威大厦大门2Q","5267");
spw.put("HCN650RD嘉城南都苑大门Q","5266");
spw.put("HCN649RD且客酒店大门Q","5265");
spw.put("HCN636RD万科海上家园北门出口Q","5264");
spw.put("HCN630RD万科海上传奇北门Q","5263");
spw.put("HCN629RD城南农贸市场大门口Q","5262");
spw.put("HCN628RD南秀花园北门东100米Q","5261");
spw.put("HCN627RD城南中学Q","5260");
spw.put("HCN626RD南秀花园南门Q","5259");
spw.put("HCN618RD亲亲家园门口Q","5258");
spw.put("HCN616RD银河湾西门Q","5257");
spw.put("HCN612RD天乐苑门口Q","5256");
spw.put("HCN610RD长新农贸市场北门Q","5255");
spw.put("HCN608RD长新公寓三期西门2Q","5254");
spw.put("HCN607RD长新公寓三期西门1Q","5253");
spw.put("HCN605RD经开一中实验正门口Q","5252");
spw.put("HCN584RD长新公寓四期东区大门1Q","5251");
spw.put("HCN581RD长新公寓四期西区东门1Q","5250");
spw.put("HCN578RD长新公寓二期大门1Q","5249");
spw.put("HCN574RD莫奈花园东门Q","5248");
spw.put("HCN181A 龙港大厦南","5247");
spw.put("HCN765RD泰富世界城西南角Q","5246");
spw.put("HCN678RD金色月亮湾东南角店铺Q","5245");
spw.put("HCN820D市内公交下客区","5244");
spw.put("HCS202A 中环南路商务大道东南角","5243");
spw.put("HCN750RD嘉兴职业技术学院东门外Q","5242");
spw.put("HCS646RY高铁南站进站口","5241");
spw.put("HCX238RY天山美食门口公交站台","5240");
spw.put("HCN159L太阳城内","5239");
spw.put("HCN144L秀水专修学校","5238");
spw.put("HCN077L城南街道北进口2","5237");
spw.put("HCN068L桐乡大道三环路口东北角2","5236");
spw.put("HCX324H新月公寓30幢西","5235");
spw.put("HCX348H新月公寓52幢东","5234");
spw.put("HCX349H新月公寓51幢西","5233");
spw.put("HCX352H新月公寓48幢东","5232");
spw.put("HCX353H新月公寓46幢东","5231");
spw.put("HCX407RH兴运路与市场路交叉口西Q","5230");
spw.put("HCX409RH顺源路与市场路交叉口西","5229");
spw.put("HCX408RH顺源路与市场路交叉口","5228");
spw.put("HCN999RH龙舟路与昌盛路桥上2-1","5227");
spw.put("HCN846D元一柏庄二期北河边绿道","5226");
spw.put("HCN831D元一柏庄二期北商铺","5225");
spw.put("HJB824RY秀州中学民族餐厅东大门","4547");
spw.put("HJB822RY秀洲中学新疆班出口","4546");
spw.put("HJB821RY秀洲中学新疆班进口","4544");
spw.put("HJB823RY秀洲中学食堂入口","4542");
spw.put("HCS1083RH庆丰路丽江半岛东门桥上2-1","4526");
spw.put("HCS1066RH春江商铺南侧水街","4525");
spw.put("HCS1037RH菜鸟物流10号楼南门进口","4524");
spw.put("HCS1022RH大树彩虹城主要出入口4","4523");
spw.put("HCS1005RH久久宾馆-久久宾馆0号","4520");
spw.put("HCS872RH台升悦府东大门","4519");
spw.put("HCN491RY区管委会大门5","4517");
spw.put("HCS850RH同济大学东门","4516");
spw.put("HCS824RH嘉兴老年医疗中心","4515");
spw.put("HCS779RH万达广场1层5号门","4514");
spw.put("HCS766RH中南公寓北门","4513");
spw.put("HCS752RH紫金艺境南门一期","4512");
spw.put("HCS735RH石堰农贸市场北门","4511");
spw.put("HCS711RH嘉兴大桥南侧辅道","4510");
spw.put("HCS697RH石雪公寓三期北门","4509");
spw.put("HCS681RH大华城市花园南商铺西","4508");
spw.put("HCS665RH府南花园东2期大门","4507");
spw.put("HCX264RY水产市场北门进口2","4506");
spw.put("HCX250A世界水果市场西大门进口2","4505");
spw.put("HCX374RH金缘浴室","4504");
spw.put("HCX133RY水果市场西门对面明珠果业","4503");
spw.put("HCX307RY蔬菜市场西大门出口","4502");
spw.put("HCX283RY新月公寓西门","4501");
spw.put("ZCNR001L白云桥家园","4500");
spw.put("HCN853RD急诊大厅南西主通道","4499");
spw.put("HJB497RH置地广场H楼西门","4498");
spw.put("HJB471RH财富豪庭大门","4497");
spw.put("HCN818RD客运中心南大门内","4496");
spw.put("HCN795RD幸福家园北区西门口","4495");
spw.put("HJB457RH中环西路洪兴路东北角人行道","4494");
spw.put("HJB438RH市运管局南公交车站","4493");
spw.put("HCN752RD晴湾二期北门","4492");
spw.put("HTH484RD周安路与中环东路路口","4491");
spw.put("HTH460RD浙江万中物流2","4490");
spw.put("HJB397RH中楠穆溪左岸东区西大门","4489");
spw.put("HCN749RD晴湾三期北店面","4488");
spw.put("HCN732RD永高路凯力路路口","4487");
spw.put("HJB776RH昌盛路新塍塘河上桥2-1","4486");
spw.put("HJB761RH新中国际","4485");
spw.put("ZJBR081L名人国际花园 东门","4484");
spw.put("ZJBR064L阳光小区老南区西门","4483");
spw.put("HTH557RH长纤塘路茶园桥下","4482");
spw.put("HTH535RH鸣扬网吧-茶香坊西区","4481");
spw.put("ZJBR053L金域兰庭西门","4480");
spw.put("ZJBR039L银洲苑东面北门","4479");
spw.put("HCN693RD成吉路108号雅迪包装","4478");
spw.put("HCN673RD金穗月亮湾东北角商铺","4477");
spw.put("HTH452RD红旗大桥下绿道","4476");
spw.put("HTH424RD城东路老中元建设门口","4475");
spw.put("ZJBR023L皇马公寓东门","4474");
spw.put("ZJBR009L艺墅春天东门","4473");
spw.put("HTH335RD吉祥大桥南堍西侧","4472");
spw.put("HTH305RD中环东路佳丽电子南门","4471");
spw.put("HJB338RY同心路阳光老南区门口","4470");
spw.put("HJB292RY汽车北站售票大厅外","4469");
spw.put("HJB021RY天成东去大门口友谊菜场","4467");
spw.put("HCX415RH广穹路与三环西路交叉口西50米","4466");
spw.put("HCX412RH月溪路与市场路交叉口西50米桥上2-2","4465");
spw.put("HCX411RH月溪路与市场路交叉口西50米桥上2-1","4464");
spw.put("HCX410RH海沁大浴场-市场路265号","4463");
spw.put("HCX409RH顺源路与市场路交叉口西50米2-2","4462");
spw.put("HCX408RH顺源路与市场路交叉口西50米2-1","4461");
spw.put("HCX407RH兴运路与市场路交叉口西50米2-2","4460");
spw.put("HCX406RH兴运路与市场路交叉口西50米2-1","4459");
spw.put("HCX404RH三环西路京杭大运河桥下龙舟路交叉口桥上2-1","4458");
spw.put("HCX401RH明珠宾馆后门","4457");
spw.put("HCX400RH明珠宾馆楼梯口","4456");
spw.put("HCX399RH万盛家园","4455");
spw.put("HCX398RH蓝光名仕公馆","4454");
spw.put("HCX396RH新月公寓北门","4453");
spw.put("HCX394RH金尊KTV","4452");
spw.put("HCX393RH御尚酒店","4451");
spw.put("HCX392RH御尚酒店","4450");
spw.put("HCX391RH玉麟宾馆东门-水果市场三区155号","4449");
spw.put("HCX390RH玉麟宾馆西门-水果市场三区155号","4448");
spw.put("HCX389RH杨柳湾宾馆-粮油市场东商铺2号","4447");
spw.put("HCX388RH杨家宾馆-市场路927号","4446");
spw.put("HCX387RH星月宾馆-市场路48号","4445");
spw.put("HCX386RH新国美宾馆-文昌路2205号2-2","4444");
spw.put("HCX385RH新国美宾馆-文昌路2205号2-1","4443");
spw.put("HCX384RH物流园停车场宾馆-市场路1061号","4442");
spw.put("HCX383RH停车场宾馆","4441");
spw.put("HCX382RH胜风宾馆-水果市场三区159号","4440");
spw.put("HCX381RH荣祥宾馆-粮油市场西商1号","4439");
spw.put("HCX380RH明珠宾馆-水果市场二区156号","4438");
spw.put("HCX379RH明悦宾馆-市场路181号","4437");
spw.put("HCX378RH鲁记龙门宾馆","4436");
spw.put("HCX377RH粮油宾馆-粮油市场商铺15号","4435");
spw.put("HCX376RH荔皇酒店","4434");
spw.put("HCX375RH君悦宾馆-市场路927号","4433");
spw.put("HCX373RH金岛浴室","4432");
spw.put("HCX372RH江通宾馆-市场路272号","4431");
spw.put("HCX371RH嘉茂宾馆-粮油市场商铺34-37号","4430");
spw.put("HCX370RH佳鑫宾馆-市场路2168号","4429");
spw.put("HCX369RH禾家宾馆-粮油市场6幢102室","4428");
spw.put("HCX368RH玉麟宾馆北门","4427");
spw.put("HCX367RH海聚德酒店-桐乡大道1235号2-2","4426");
spw.put("HCX366RH海聚德酒店-桐乡大道1235号2-1","4425");
spw.put("HCX365RH国美宾馆-粮油市场商铺25号","4424");
spw.put("HCX364RH德丽雅宾馆","4423");
spw.put("HCX363RH财嘉宾馆","4422");
spw.put("HCX362RH财嘉宾馆","4421");
spw.put("ZCXR008L万盛家园南门","4420");
spw.put("ZCXR007L新月公寓南门","4419");
spw.put("HCX310RY建材市场1号门入口","4418");
spw.put("HCX309RY蔬菜市场北大门出口","4417");
spw.put("HCX266RY水产市场北门出口2","4416");
spw.put("HCS1088RH由拳路与花园路交叉口东30米","4415");
spw.put("HCS030RY由拳路府南农贸市场门口","4414");
spw.put("HTH561RH锦绣路新东方家园东桥上2-1","4412");
spw.put("HTH400RD塘汇路中环东路绿道入口","4411");
spw.put("HTH234RD新禾家苑南大门东","4410");
spw.put("HJB717RH天都大浴场--同心路207号302室","4409");
spw.put("HJB611RH郁金香宾馆大门口","4408");
spw.put("HCN1004RH天琴路与华严路交叉口西2-2","4407");
spw.put("HCX308RY蔬菜市场北大门进口","4406");
spw.put("HCX306RY蔬菜市场西大门进口","4405");
spw.put("HCX305RY水果第四交易区西门北出口","4404");
spw.put("HCX304RY水果第四交易区西门北进口","4403");
spw.put("HCX303RY水果第四交易区东北门进口","4402");
spw.put("HCX302RY水果第四交易区东北门出口","4401");
spw.put("HCX301RY水果第四交易区西门南进口","4400");
spw.put("HCX300RY水果第四交易区西门南出口","4399");
spw.put("HCX299RY水果第四交易区西北门进口","4398");
spw.put("HCX298RY水果第四交易区西北门出口","4397");
spw.put("HCX297RY水果第四交易区南通道进口","4396");
spw.put("HCX281RY多德福南门","4395");
spw.put("HCX280RY水果市场三期南一门门口","4394");
spw.put("HCX279RY明珠宾馆门口B","4393");
spw.put("HCX278RY明珠宾馆门口A","4392");
spw.put("HCX277RY水果市场南大门进口五星果业门口","4391");
spw.put("HCX276RY水果市场西大门斜西街果业门口","4390");
spw.put("HCX275RY水果第四交易区南通道进口","4389");
spw.put("HCX274RY第四交易区北门通道进口","4388");
spw.put("HCX271RY水产市场东门进口","4387");
spw.put("HCX270RY水产市场东北外围出口2","4386");
spw.put("HCX268A水产市场东北外围进口2","4385");
spw.put("HCN1006RH昌盛南路与桐乡大道交叉口北20米","4384");
spw.put("HTH399RD平安家园东侧店面","4383");
spw.put("HTH380RD东方新家园华侨国际幼儿园","4382");
spw.put("HCN1001RH昌盛南路与华严路北60米","4381");
spw.put("HCN984RH莲花广场西门口出口","4380");
spw.put("HTH285RD圆通古寺西大门","4379");
spw.put("HTH240RD禾新农贸市场北门","4378");
spw.put("HCN961RH五四广场南门口出口","4377");
spw.put("HCN945RH安诺网络科技有限公司","4376");
spw.put("ZTHR013L新东方家园南区北门","4375");
spw.put("HTH526RD金鹰绢麻纺织厂门口","4374");
spw.put("HCN942RH达达网吧","4373");
spw.put("HCN927RH荣佳路福特4S店北2-2","4372");
spw.put("HTH033RY和风路462号和风丽苑门口","4371");
spw.put("HJB807RH常秀街烟草局门口2-1","4370");
spw.put("HCN908RH新喜来宾馆2-2","4369");
spw.put("HCN893RH铭泰商务宾馆西门进口","4368");
spw.put("HJB745RH嘉兴广电总台南门","4367");
spw.put("HJB723RH仟汇足道-友谊街385号","4366");
spw.put("ZCNR080L长新公寓四期东门进","4365");
spw.put("HJB714RH创秀沐浴休闲浴场","4364");
spw.put("HJB691RH东升大桥东北角人行道","4363");
spw.put("ZCNR065L义圣名苑东门","4362");
spw.put("ZCNR051L海上新园东门","4361");
spw.put("HJB653RH洪兴路昌盛路东南角人行道向西","4360");
spw.put("HJB612RH友谊街洪兴路西南角网咖门口","4359");
spw.put("HJB610RH立达商务宾馆门口","4358");
spw.put("HJB587RH东升路杉杉印象北人行道向东","4357");
spw.put("HCX223RY水果市场东北门出口","4356");
spw.put("ZCXR002L新月公寓北门进","4355");
spw.put("ZCSR070L石雪公寓南区南门","4353");
spw.put("ZCXR001L新月公寓西门","4352");
spw.put("ZCSR051L雅苑北门","4351");
spw.put("ZCSR037L绿溪玫瑰园1期","4350");
spw.put("ZCSR026L香缇御峰南门","4349");
spw.put("ZCSR012L云东公寓南门","4348");
spw.put("HCN628RD南秀花园北门东100米","4345");
spw.put("HCN606RD长新公寓四期西区西门","4344");
spw.put("HJB568RH金域兰庭大门","4343");
spw.put("HJB566RH振兴公寓大门内","4342");
spw.put("HJB565RH嘉北街道社区卫生院大门","4341");
spw.put("HJB562RH昌盛花园东区消防通道","4340");
spw.put("HJB561RH昌盛花园西区大门","4339");
spw.put("HJB558RH新中国际大门","4338");
spw.put("HJB554RH星洲艺墅春天西区大门","4337");
spw.put("HJB553RH同德园南门","4336");
spw.put("HJB551RH信远朗庭大门","4335");
spw.put("HJB546RH紫金凰庭东门","4334");
spw.put("HJB544RH紫金凰庭南大门","4333");
spw.put("HJB543RH卡缇亚宫东北门","4332");
spw.put("HJB539RH石臼漾湿地北大门","4331");
spw.put("HJB538RH东升西路大桥东南角人行道","4330");
spw.put("HJB532RH丽池庄园东门","4329");
spw.put("HJB529RH丽池庄园北门","4328");
spw.put("HJB525RH虹兴花园西区东门","4327");
spw.put("HJB524RH建明别墅大门","4326");
spw.put("HJB523RH建明公寓大门","4325");
spw.put("HJB522RH新友谊公寓大门","4324");
spw.put("HJB521RH天城花园东区大门","4323");
spw.put("HJB520RH市府宿舍大门","4322");
spw.put("HJB519RH虹泰公寓东区大门","4321");
spw.put("HJB516RH名人国际花园东门","4320");
spw.put("HJB515RH名人国际南门","4319");
spw.put("大华测试+1","4318");
spw.put("ZCNR045L百妙公寓二期南门出","4317");
spw.put("ZCNR007L幸福家园西面北门","4316");
spw.put("ZCNR006L幸福家园西面中门","4315");
spw.put("ZCNR005L幸福家园西面南门","4314");
spw.put("ZCNR003L禾源新都北区西南门","4313");
spw.put("ZCNR002L禾源新都南区西门","4312");
spw.put("HCN859RD嘉兴市第一医院南门内","4306");
spw.put("HCN858RD嘉兴市第一医院东北角","4305");
spw.put("HCN857RD门诊大厅2","4304");
spw.put("HCN856RD门诊大厅1","4303");
spw.put("HCN855RD住院部大门北通道","4302");
spw.put("HCN852RD急诊大厅南消防通道","4301");
spw.put("HCN850RD嘉康电子门口","4300");
spw.put("HCN849RD大树金港湾大门","4299");
spw.put("HCN844RD中环西路龙腾路人行道","4298");
spw.put("HCN835RD四季观邸大门","4297");
spw.put("HJB514RH凯旋路中行公寓大门","4296");
spw.put("HJB513RH凯旋公寓大门","4295");
spw.put("HJB512RH瑞逸达精品酒店大门","4294");
spw.put("HJB511RH皇朝宾馆大门","4293");
spw.put("HJB510RH凯旋广场单身公寓入口","4292");
spw.put("HJB507RH凯旋路5318厂宿舍大门","4291");
spw.put("HJB505RH凯旋路中医院宿舍大门","4290");
spw.put("HJB502RH洪兴路陆家苑东南角","4289");
spw.put("HJB501RH洪兴路永兴街西南角人行道","4288");
spw.put("HJB500RH常秀农贸市场停车场","4287");
spw.put("HJB499RH洪兴实验学校大门","4286");
spw.put("HJB493RH裕隆公寓南门","4285");
spw.put("HJB491RH尚元名郡东门","4284");
spw.put("HJB490RH常秀街规划设计院宿舍东门","4283");
spw.put("HJB489RH江南新天地东公交车站","4282");
spw.put("HJB486RH世纪家园东门","4281");
spw.put("HJB483RH富安龙园东区大门","4280");
spw.put("HJB482RH富安龙园西区大门","4279");
spw.put("HJB480RH吉扬路常秀街人行桥西坡","4278");
spw.put("HJB478RH金都景苑南大门","4277");
spw.put("HJB476RH吉扬路杭州大桥下缘路","4276");
spw.put("HJB475RH中山路昌盛中路东南角人行道向西","4275");
spw.put("HJB473RH金都景苑大门","4274");
spw.put("HJB472RH财富假日酒店大门","4273");
spw.put("HJB467RH中山路中环西路西北角人行道向东","4272");
spw.put("HJB470RH兴业大厦东商铺","4271");
spw.put("HJB468RH中山路中环西路西南角人行道向东","4270");
spw.put("HCN833RD元一柏庄二期东门","4269");
spw.put("HCN827RD玫瑰恬园东大门","4268");
spw.put("HCN824RD新文化广场二号楼大门","4267");
spw.put("HCN823RD新文化广场东商铺","4266");
spw.put("HCN821RD客运中心西门入口","4265");
spw.put("HCN819RD城际公交下客区人行道","4264");
spw.put("HCN812RD好日子宾馆门口","4263");
spw.put("HCN811RD禾源新都北区大门2","4262");
spw.put("HCN810RD禾源新都北区大门1","4261");
spw.put("HCN809RD禾源新都北区西消防门","4260");
spw.put("HCN808RD白云桥家园门口","4259");
spw.put("HCN806RD禾源新都南区门口","4258");
spw.put("HCN805RD开禧路禾源宾馆","4257");
spw.put("HCN803RD万国路盛安路进城","4256");
spw.put("HCN802RD万国路盛安路出城","4255");
spw.put("HCN801RD嘉洪线机场西进城","4254");
spw.put("HCN800RD嘉洪线机场西出城","4253");
spw.put("HCN797RD桐乡大道锦福村进城","4252");
spw.put("HCN796RD桐乡大道锦福村出城","4251");
spw.put("HCN794RD幸福家园中间西门口","4250");
spw.put("HCN793RD幸福家园南区西门口","4249");
spw.put("HCN792RD泊金湾大酒店门口","4248");
spw.put("HCN790RD明珠广场东南角","4247");
spw.put("HCN791RD明珠广场中间通道东","4246");
spw.put("HJB466RH裕隆公寓北商铺","4245");
spw.put("HJB465RH卫生宿舍大门","4244");
spw.put("HJB464RH大地园林宿舍大门","4243");
spw.put("HJB463RH洪仁苑南商铺","4242");
spw.put("HJB462RH公安宿舍大门","4241");
spw.put("HJB461RH洪仁苑大门","4240");
spw.put("HJB460RH中山壹品大门","4239");
spw.put("HJB459RH玉都豪江KTV大门","4238");
spw.put("HJB458RH名人国际花园西商铺","4237");
spw.put("HJB456RH中环西路洪兴路西北角人行道2","4236");
spw.put("HJB455RH中环西路洪兴路西北角人行道1","4235");
spw.put("HJB454RH中环西路洪兴路西南角人行道","4234");
spw.put("HJB452RH常秀小区东区大门","4233");
spw.put("HJB451RH常秀农贸市场大门","4232");
spw.put("HJB450RH秀仁苑大门","4231");
spw.put("HJB449RH常秀小区西区大门","4230");
spw.put("HJB448RH常秀小区北区大门口","4229");
spw.put("HJB446RH洪兴花园南区大门","4228");
spw.put("HJB445RH英皇国际出口","4227");
spw.put("HJB444RH大洋洲酒店入口","4226");
spw.put("HJB442RH隆聚餐饮","4225");
spw.put("HJB441RH立达汇园小区入口","4224");
spw.put("HJB437RH瑶池足道洪兴路1180","4223");
spw.put("HJB434RH紫溪花园南大门","4222");
spw.put("HJB428RH禾城世纪花园西商铺李菜超市门口","4221");
spw.put("HJB429RH紫溪花园西消防通道","4220");
spw.put("HJB426RH阳光东区东门","4219");
spw.put("HCN789RD明珠广场南店铺","4218");
spw.put("HCN784RD龙鼎万达广场北楼观光电梯B2","4217");
spw.put("HCN783RD龙鼎万达广场北门永辉超市路口","4216");
spw.put("HCN782RD龙鼎万达广场北楼1号门大厅","4215");
spw.put("HCN781RD龙鼎万达广场北楼1号门电梯","4214");
spw.put("HCN780RD龙鼎万达广场北楼6号门内","4213");
spw.put("HCN779RD龙鼎万达南楼客梯B1","4212");
spw.put("HCN778RD龙鼎万达广场南楼客梯B2","4211");
spw.put("HCN777RD龙鼎万达广场南楼东门内","4210");
spw.put("HCN776RD龙鼎万达广场南楼五号门内","4209");
spw.put("HCN773RD龙鼎万达广场南楼东南角","4208");
spw.put("HCN771RD凤樯路龙凤路东南角人行道","4207");
spw.put("HCN769RD万达维也纳酒店门口","4206");
spw.put("HCN768RD龙腾路凤樯路西南角人行道","4205");
spw.put("HCN767RD龙腾路凤樯路西北角人行道","4204");
spw.put("HCN764RD泰富世界城西门","4203");
spw.put("HCN763RD泰富世界城西北角2","4202");
spw.put("HCN762RD泰富世界城西北角1","4201");
spw.put("HCN761RD途客中国酒店","4200");
spw.put("HCN758RD泰富世界城东门口","4199");
spw.put("HCN757RD服务公寓","4198");
spw.put("HCN755RD泰富世界城6幢南门","4197");
spw.put("HCN754RD泰富世界城5幢南门","4196");
spw.put("HCN753RD晴湾一期南门","4195");
spw.put("HTH517RD章氏古茶园","4194");
spw.put("HTH514RD周安路乌支港桥东堍","4193");
spw.put("HTH507RD中安市场丽晶浴场门口","4192");
spw.put("HTH506RD中安市场格林豪泰酒店门口","4191");
spw.put("HTH495RD中安市场五金城北内","4190");
spw.put("HTH491RD中安市场东侧大门北","4189");
spw.put("HTH489RD中安市场大门5","4188");
spw.put("HTH486RD中安市场大门2","4187");
spw.put("HTH485RD中安市场大门1","4186");
spw.put("HTH482RD麦德龙入口处","4185");
spw.put("HTH481RD麦德龙商场洛克公园门口","4184");
spw.put("HTH480RD麦德龙商场出口处","4183");
spw.put("HTH479RD麦德龙出口处内","4182");
spw.put("HTH478RD三桥港桥西堍南侧","4181");
spw.put("HTH477RD沪杭立交桥北堍东侧","4180");
spw.put("HTH476RD茶香坊南区消防通道","4179");
spw.put("HTH474RD茶香坊西区消防通道","4178");
spw.put("HTH472RD兴汇大厦爱尚网咖门口","4177");
spw.put("HTH469RD兴汇大厦东门","4176");
spw.put("HTH468RD茶香坊农贸市场东南角","4175");
spw.put("HTH466RD周安路茶香坊农贸市场门口","4174");
spw.put("HTH464RD华玉佳苑大门口","4173");
spw.put("HTH459RD浙江万中物流1南门中央隔离带","4172");
spw.put("HTH458RD浙江万中物流1门口对面","4171");
spw.put("HTH456RD铁水中转港区大门内2","4170");
spw.put("HTH454RD周安路东到底租房1号","4169");
spw.put("HJB421RH阳光西区南门路口","4168");
spw.put("HJB419RH阳光新南区西区东门","4167");
spw.put("HJB418RH阳光新南区东区西门","4166");
spw.put("HJB415RH秀州中学大门","4165");
spw.put("HJB409RH禾兴北路阳光乐园幼儿园大门","4164");
spw.put("HJB407RH阳海景怡北区东商铺1","4163");
spw.put("HJB406RH阳海景怡北区惠买得超市门口","4162");
spw.put("HJB405RH阳海景怡 北区南大门","4161");
spw.put("HJB403RH中楠穆溪左岸西区南大门","4160");
spw.put("HJB401RH中楠穆溪左岸西区东大门","4159");
spw.put("HJB399RH中楠穆溪左岸东区北大门","4158");
spw.put("HJB396RH紫园西大门南商铺","4157");
spw.put("HJB394RH皇马公寓东大门","4156");
spw.put("HJB393RH紫园西大门","4155");
spw.put("HJB391RH紫园北门","4154");
spw.put("HJB390RH米兰风景南大门西侧","4153");
spw.put("HJB386RH海派秀城H座","4151");
spw.put("HJB385RH海派秀城B座","4150");
spw.put("HJB384RH海派秀城东北角商铺","4149");
spw.put("HJB382RH皇马公寓北大门","4148");
spw.put("HJB379RH米兰风景北门","4147");
spw.put("HJB377RH中环西路新睦桥西南角 ","4146");
spw.put("HJB375RH中环西路新睦桥西公园1","4145");
spw.put("HJB374RH冬青路与中环西路人行道","4144");
spw.put("HJB372RH翠堤园别墅东门","4143");
spw.put("HJB369RH东升路皇冠假日","4142");
spw.put("HCN751RD嘉兴职业技术学院东门内","4141");
spw.put("HCN750RD嘉兴职业技术学院东门外","4140");
spw.put("HCN748RD晴湾二期南门","4139");
spw.put("HCN747RD晴湾三期北门","4138");
spw.put("HCN746RD晴湾二期南店面","4137");
spw.put("HCN744RD旭辉御府东门","4136");
spw.put("HCN742RD富悦大酒店大门西南非机动车道","4135");
spw.put("HCN739RD富悦大酒店大门写字楼电梯","4134");
spw.put("HCN738RD富悦大酒店大门地下室电梯","4133");
spw.put("HCN737RD富悦大酒店大门东侧","4132");
spw.put("HCN736RD富悦大酒店大门南侧","4131");
spw.put("HCN735RD富悦大酒店大门","4130");
spw.put("HCN734RD中环南中环西西南角","4129");
spw.put("HCN733RD华严路156号华严花边北门","4128");
spw.put("HCN731RD永高路56号南湖工艺品","4127");
spw.put("HCN730RD嘉杭路永高路4s店广场","4126");
spw.put("HCN729RD嘉兴学院体育馆东门","4125");
spw.put("HCN728RD嘉兴体育馆一号门","4124");
spw.put("HCN727RD嘉兴学院体育馆游泳馆门口","4123");
spw.put("HCN726RD智慧家园门口人行道","4122");
spw.put("HJB793RH云海路春晓食品厂西桥2-1","4121");
spw.put("HJB792RH秀仁路中级人民法院后门","4120");
spw.put("HJB790RH云海路浙安驾校南2-2","4119");
spw.put("HJB789RH云海路浙安驾校南2-1","4118");
spw.put("HJB787RH昌盛北路吴家桥2-2","4117");
spw.put("HJB786RH昌盛北路吴家桥2-1","4116");
spw.put("HJB783RH百墅路嘉州美都北桥上","4115");
spw.put("HJB782RH东升东路实验小学南桥上","4114");
spw.put("HJB781RH洪波路与天河街交叉口东100米桥上","4113");
spw.put("HJB780RH洪兴路与越秀北路交叉口西200米桥西面","4112");
spw.put("HJB779RH洪兴路友谊街交叉口东100米公交站台东","4111");
spw.put("HJB778RH洪越路与天河街交叉口东100米桥上","4110");
spw.put("HJB777RH昌盛路新塍塘河上桥2-2","4109");
spw.put("HJB775RH斯比泰公寓-西门","4108");
spw.put("HJB774RH嘉兴市运河公园内","4107");
spw.put("HJB773RH嘉兴市洪兴公园入口广场处","4106");
spw.put("HJB772RH阳光农贸市场-秀洲区同心路205号","4105");
spw.put("HJB771RH昌盛花园农贸市场-昌盛路1880号","4104");
spw.put("HJB770RH阳海景怡南区","4103");
spw.put("HJB769RH阳光小区南区","4102");
spw.put("HJB768RH阳光小区南区","4101");
spw.put("HJB767RH阳光小区东区","4100");
spw.put("HJB766RH陆家苑","4099");
spw.put("HJB765RH嘉兴广电总台南门2","4098");
spw.put("HJB764RH立达汇园","4097");
spw.put("HJB763RH立达汇园","4096");
spw.put("HJB760RH昌盛花园B","4095");
spw.put("HJB366RH良友大厦西南商铺","4094");
spw.put("HJB363RH盛大花园北门出口","4093");
spw.put("HJB362RH盛大花园东门出口","4092");
spw.put("HJB361RH百墅花园大门","4091");
spw.put("HJB359RH东升路实验小学消防通道","4090");
spw.put("HJB356RH嘉兴市实验小学大门","4089");
spw.put("HJB354RH嘉州美都2期欢聚园西北门","4088");
spw.put("HJB353RH嘉州美都2期欢聚园西南门","4087");
spw.put("HJB352RH嘉州美都1期东门出口","4086");
spw.put("ZJBR082L阳海景怡北区东门","4085");
spw.put("ZJBR080L米兰风景南门","4084");
spw.put("ZJBR079L阳海景怡北区南门","4083");
spw.put("ZJBR076L阳海景怡南区北门","4082");
spw.put("ZJBR074L中楠穆溪左岸东区北门","4081");
spw.put("ZJBR073L中楠穆溪左岸东区西门出","4080");
spw.put("ZJBR072L中楠穆溪左岸东区西门进","4079");
spw.put("ZJBR071L中楠穆溪左岸西区南门","4078");
spw.put("ZJBR070L中楠穆溪左岸西区东门","4077");
spw.put("ZJBR069L紫溪花园南门","4076");
spw.put("ZJBR068L紫溪花园西门出","4075");
spw.put("ZJBR067L紫溪花园西门进","4074");
spw.put("ZJBR066L禾城世纪花园西门","4073");
spw.put("ZJBR065L阳光小区老南区南门","4072");
spw.put("ZJBR063L阳光小区老南区东门","4071");
spw.put("ZJBR061L阳光小区西区南门","4070");
spw.put("ZJBR062L阳光小区老南区西门","4069");
spw.put("ZJBR060L阳光小区东区东门","4068");
spw.put("HTH562RH柳岸禾风一期北侧商铺","4067");
spw.put("HTH554RH中环北路尚东名邸西侧入口","4066");
spw.put("HTH551RH三环北路东方路入口处2","4065");
spw.put("HTH549RH新东方家园中区","4064");
spw.put("HTH547RH家乐烟花有限公司2-1","4063");
spw.put("HTH546RH家乐烟花有限公司2-1","4062");
spw.put("HTH545RH茶香坊浴室-茶香坊西区","4061");
spw.put("HTH544RH海之梦休闲会馆-正原路167号","4060");
spw.put("HTH543RH锦绣宾馆-三元路与塘汇路交叉口东50米","4059");
